category,aspect,year,n_high_rating,n_negative,hdr
Beauty_and_Personal_Care,durability,2011,117,10,0.08547008547008547
Beauty_and_Personal_Care,durability,2012,295,35,0.11864406779661017
Beauty_and_Personal_Care,durability,2013,991,85,0.08577194752774975
Beauty_and_Personal_Care,durability,2014,1125,127,0.11288888888888889
Beauty_and_Personal_Care,durability,2015,1166,145,0.12435677530017153
Beauty_and_Personal_Care,durability,2016,1490,196,0.13154362416107382
Beauty_and_Personal_Care,durability,2017,1420,192,0.1352112676056338
Beauty_and_Personal_Care,durability,2018,1556,208,0.13367609254498714
Beauty_and_Personal_Care,durability,2019,2046,286,0.13978494623655913
Beauty_and_Personal_Care,durability,2020,2953,482,0.16322384016254657
Beauty_and_Personal_Care,durability,2021,2849,460,0.16146016146016146
Beauty_and_Personal_Care,durability,2022,2744,479,0.17456268221574345
Beauty_and_Personal_Care,durability,2023,1212,199,0.16419141914191418
Beauty_and_Personal_Care,quality,2011,117,9,0.07692307692307693
Beauty_and_Personal_Care,quality,2012,295,39,0.13220338983050847
Beauty_and_Personal_Care,quality,2013,991,110,0.11099899091826437
Beauty_and_Personal_Care,quality,2014,1125,138,0.12266666666666666
Beauty_and_Personal_Care,quality,2015,1166,170,0.1457975986277873
Beauty_and_Personal_Care,quality,2016,1490,222,0.14899328859060404
Beauty_and_Personal_Care,quality,2017,1420,227,0.15985915492957747
Beauty_and_Personal_Care,quality,2018,1556,250,0.16066838046272494
Beauty_and_Personal_Care,quality,2019,2046,332,0.16226783968719452
Beauty_and_Personal_Care,quality,2020,2953,507,0.17168980697595665
Beauty_and_Personal_Care,quality,2021,2849,516,0.1811161811161811
Beauty_and_Personal_Care,quality,2022,2744,536,0.19533527696793002
Beauty_and_Personal_Care,quality,2023,1212,211,0.1740924092409241
Beauty_and_Personal_Care,shipping,2011,117,10,0.08547008547008547
Beauty_and_Personal_Care,shipping,2012,295,39,0.13220338983050847
Beauty_and_Personal_Care,shipping,2013,991,105,0.10595358224016145
Beauty_and_Personal_Care,shipping,2014,1125,135,0.12
Beauty_and_Personal_Care,shipping,2015,1166,158,0.13550600343053174
Beauty_and_Personal_Care,shipping,2016,1490,213,0.1429530201342282
Beauty_and_Personal_Care,shipping,2017,1420,214,0.15070422535211267
Beauty_and_Personal_Care,shipping,2018,1556,228,0.14652956298200515
